"Grado","Sexo","Trimestre_1","Trimestre_2","Trimestre_3","Ingreso_Familiar_Mensual","Numero_Personas_Hogar","Nivel_Educativo_Padres","Situacion_Laboral_Padres","Acceso_Internet_Casa","Tipo_Vivienda","Computadora_Casa","Dispositivos_Moviles","Numero_Dispositivos_Moviles","Numero_Hermanos","Numero_Hermanos_Estudiando","Numero_Hermanos_Trabajando","Probabilidad_Desercion"
"2","F","7.8","8.4","8.5","8917","2","Universitaria","Desempleado","No","Prestada","Si","Si","6","4","3","0","1"
"1","F","8.8","8.8","6.5","13686","2","Secundaria","Desempleado","Si","Prestada","No","No","0","0","1","4","1"
"2","M","9","6.4","6.3","5054","5","Preparatoria","Empleado","No","Prestada","No","Si","9","0","4","1","0"
"1","F","8.2","7.3","6.5","10977","2","Preparatoria","Empleado","Si","Propia","No","No","1","3","4","3","1"
"2","M","6.8","7.7","7.4","18199","9","Universitaria","Desempleado","Si","Prestada","No","No","7","0","5","3","0"
"3","M","8.6","6.5","9","10536","6","Preparatoria","Desempleado","Si","Propia","No","No","7","0","0","1","1"
"3","M","6.8","6.5","5.3","17070","9","Preparatoria","Empleado","Si","Propia","No","No","4","0","3","0","0"
"1","M","8.2","8.9","7.8","18937","4","Preparatoria","Desempleado","Si","Alquilada","No","Si","1","2","2","5","1"
"3","F","9.6","8.8","5.5","9683","6","Primaria","Empleado","Si","Propia","Si","Si","2","3","3","5","1"
"3","M","6.5","5.5","5","19171","8","Universitaria","Empleado","Si","Alquilada","Si","No","4","0","0","4","1"
"2","F","7.2","5.1","8.8","12011","6","Universitaria","Empleado","No","Propia","No","Si","2","0","3","4","0"
"1","M","5.6","6.2","5","17271","7","Primaria","Empleado","Si","Propia","No","Si","9","5","1","0","1"
"2","M","7.5","9.3","8.9","10896","3","Universitaria","Desempleado","No","Alquilada","No","No","0","5","0","3","0"
"2","M","8.1","9.6","5.2","16582","8","Preparatoria","Desempleado","No","Alquilada","Si","No","5","4","4","3","0"
"2","F","6.1","5.8","5","9190","8","Preparatoria","Empleado","No","Alquilada","Si","Si","4","2","4","5","0"
"2","M","5.7","8.3","5","11144","7","Preparatoria","Empleado","No","Alquilada","No","Si","2","0","1","5","0"
"2","M","5.4","6.6","8.8","2814","7","Universitaria","Empleado","No","Alquilada","No","Si","8","2","4","2","0"
"2","M","9.1","7.6","7","11740","5","Universitaria","Empleado","No","Alquilada","Si","Si","9","3","5","1","1"
"2","F","7.7","7.8","9.4","4777","6","Secundaria","Empleado","Si","Alquilada","Si","No","7","3","1","5","1"
"1","F","5.4","8.6","7.9","6958","3","Primaria","Desempleado","Si","Propia","Si","No","6","5","4","1","0"
"3","F","9.8","9.2","8.1","5825","4","Universitaria","Empleado","Si","Propia","No","No","1","1","4","5","1"
"2","M","7.5","7.1","8.2","19600","4","Secundaria","Desempleado","Si","Alquilada","No","Si","9","4","5","3","1"
"2","F","5.4","7.3","9.7","16800","3","Primaria","Empleado","Si","Prestada","Si","No","4","1","3","1","0"
"2","M","7.1","5.6","7.1","11999","8","Primaria","Empleado","No","Alquilada","No","Si","4","2","0","0","0"
"2","F","6.4","8.3","7.9","14964","6","Preparatoria","Empleado","No","Prestada","No","No","5","4","4","4","0"
"2","F","6.2","9.7","9.5","8772","9","Preparatoria","Empleado","No","Propia","No","Si","5","5","0","5","0"
"2","M","7.7","6.1","5.3","11481","6","Secundaria","Desempleado","Si","Propia","Si","Si","2","0","0","2","1"
"3","F","8.2","7.2","7.2","17737","5","Secundaria","Desempleado","Si","Prestada","Si","No","3","5","4","0","1"
"3","M","9.2","6.4","9.3","19246","5","Preparatoria","Desempleado","Si","Propia","Si","No","0","5","0","0","0"
"2","M","7.2","8.2","7.4","12677","7","Preparatoria","Empleado","Si","Alquilada","No","Si","0","4","5","0","1"
"3","F","8.2","6.2","6.1","4355","4","Primaria","Desempleado","No","Prestada","No","Si","4","4","1","1","0"
"1","M","9.2","7.2","6.6","11157","5","Primaria","Empleado","No","Prestada","Si","No","3","3","5","4","0"
"2","M","6.7","8.7","6.4","4395","3","Universitaria","Empleado","Si","Propia","No","Si","6","1","2","2","1"
"1","F","9.9","8.1","5.9","2524","4","Preparatoria","Desempleado","No","Prestada","Si","Si","6","3","1","3","0"
"1","F","7.9","9.4","8.4","2561","8","Primaria","Empleado","Si","Prestada","No","Si","3","3","4","0","1"
"2","M","7.5","9.9","7.8","10167","9","Secundaria","Empleado","Si","Prestada","No","No","9","1","1","0","1"
"3","F","6.5","8.4","6.1","18184","8","Primaria","Desempleado","Si","Propia","No","Si","1","3","5","0","1"
"1","M","6.2","5","5","6664","6","Preparatoria","Desempleado","No","Prestada","No","Si","9","4","2","3","1"
"2","M","8.8","9.6","5","3205","4","Primaria","Empleado","No","Prestada","No","Si","3","2","1","5","1"
"1","F","8.2","9.4","5.9","14039","2","Preparatoria","Desempleado","No","Alquilada","Si","No","7","0","0","1","1"
"1","F","7.5","5.4","6.7","14393","4","Primaria","Desempleado","Si","Alquilada","Si","No","1","0","4","1","0"
"1","F","9.7","6.2","9.6","4238","5","Universitaria","Desempleado","Si","Prestada","No","No","4","3","0","4","1"
"1","F","5","5.4","5.1","19544","9","Universitaria","Empleado","Si","Propia","Si","Si","6","1","0","1","1"
"3","M","9.8","8.1","9.8","14987","3","Secundaria","Empleado","No","Prestada","No","Si","9","4","4","1","1"
"1","M","8.7","7","5.7","7239","6","Secundaria","Desempleado","Si","Propia","No","Si","5","3","4","2","0"
"1","F","5.1","7.3","7.1","14017","6","Preparatoria","Empleado","Si","Alquilada","No","Si","8","4","3","2","1"
"1","F","9.8","6.7","7.1","18455","5","Preparatoria","Empleado","No","Alquilada","Si","Si","1","4","2","1","0"
"3","M","5.5","7","7.5","19138","5","Preparatoria","Desempleado","Si","Prestada","No","Si","3","5","0","2","1"
"1","M","9.5","5.9","7.5","11096","5","Primaria","Desempleado","No","Propia","No","No","6","0","5","5","1"
"1","M","9.9","7.3","5.8","16814","2","Primaria","Desempleado","No","Propia","Si","Si","7","2","0","4","0"
"3","M","8.7","8.9","7","15291","3","Primaria","Empleado","Si","Propia","No","No","4","2","4","1","0"
"3","F","9.1","9.6","8","4621","2","Secundaria","Empleado","Si","Prestada","Si","Si","4","1","4","2","1"
"3","M","7.3","7","9.2","5190","5","Preparatoria","Empleado","Si","Propia","Si","Si","3","2","1","3","1"
"1","M","6.7","7.4","5.5","5948","3","Primaria","Empleado","Si","Alquilada","Si","No","8","3","0","2","1"
"3","F","7.6","7.2","6.3","3287","8","Secundaria","Desempleado","No","Propia","Si","No","9","0","0","2","0"
"3","M","9","7.1","8.2","16590","8","Universitaria","Desempleado","No","Propia","Si","Si","3","0","4","3","1"
"1","M","5.7","5.3","5.6","17668","5","Preparatoria","Desempleado","No","Prestada","Si","Si","2","4","5","4","1"
"3","F","7.7","8.3","7.3","3772","3","Universitaria","Desempleado","No","Prestada","Si","Si","8","3","5","3","1"
"1","F","5.9","5.5","5.8","8200","9","Secundaria","Desempleado","No","Prestada","No","No","6","3","0","4","1"
"2","F","6.6","7.7","6","17762","6","Preparatoria","Empleado","No","Prestada","No","Si","8","4","2","5","1"
"3","M","7.8","8","7.2","5138","2","Primaria","Desempleado","No","Prestada","No","Si","3","5","3","3","0"
"2","M","5.5","8.4","9.7","9213","7","Secundaria","Empleado","Si","Propia","No","No","2","5","4","4","0"
"1","F","6.3","8.8","5.1","16941","5","Universitaria","Empleado","Si","Propia","No","No","9","4","4","4","1"
"3","F","7.1","9.1","6.4","4416","5","Universitaria","Desempleado","Si","Prestada","No","Si","7","0","0","0","1"
"1","M","5.5","7.2","8.4","17964","4","Universitaria","Empleado","Si","Prestada","No","Si","3","3","5","0","0"
"2","F","7.5","5.5","8.5","19968","7","Secundaria","Empleado","Si","Propia","No","No","9","2","3","2","0"
"1","F","8.8","6.5","7.7","3046","9","Secundaria","Desempleado","Si","Prestada","Si","Si","2","2","3","3","1"
"3","F","6.1","5.1","8.8","16909","6","Preparatoria","Empleado","No","Alquilada","No","No","3","0","5","4","0"
"3","M","8.4","7.3","9.3","15578","5","Preparatoria","Desempleado","Si","Propia","No","No","1","2","4","0","1"
"2","M","6.3","6.6","5.3","7719","9","Universitaria","Desempleado","Si","Alquilada","Si","Si","3","2","4","2","1"
"1","M","7.1","9.4","5.9","17960","2","Secundaria","Empleado","No","Propia","Si","No","6","3","4","2","1"
"3","M","7.2","5","5.5","19560","6","Preparatoria","Empleado","No","Propia","Si","No","2","3","2","2","0"
"2","M","9.7","5.5","7.9","17598","5","Secundaria","Desempleado","Si","Propia","No","Si","0","1","0","0","1"
"3","M","5.6","5.4","9.5","17624","2","Primaria","Empleado","No","Propia","Si","No","9","3","2","5","0"
"3","F","8.9","9.4","8.4","8411","4","Secundaria","Desempleado","Si","Propia","Si","No","7","1","4","1","0"
"1","M","9.9","9.9","9.8","10074","4","Universitaria","Desempleado","No","Propia","Si","Si","5","5","3","5","0"
"3","M","7.4","7.8","9.2","12352","8","Secundaria","Desempleado","Si","Propia","Si","Si","2","3","0","5","0"
"1","F","6.2","6.1","5.9","17003","2","Universitaria","Desempleado","Si","Prestada","No","No","7","4","0","2","0"
"3","M","7","8.8","8.1","11223","6","Preparatoria","Desempleado","Si","Prestada","Si","Si","5","3","5","1","0"
"2","M","9","9.6","9.1","14718","2","Preparatoria","Desempleado","No","Prestada","No","No","0","1","4","1","0"
"3","F","5.9","5.2","9.1","3315","7","Preparatoria","Empleado","No","Alquilada","Si","No","8","2","4","1","0"
"1","F","5.8","9.7","5.2","19276","2","Primaria","Desempleado","Si","Propia","Si","No","8","3","4","2","0"
"1","F","6.4","5","7.5","10936","4","Universitaria","Empleado","No","Prestada","Si","Si","8","2","4","4","0"
"2","M","5.1","7.6","6.4","15767","4","Primaria","Empleado","No","Prestada","No","No","5","2","4","1","0"
"3","F","7.4","9.7","6.6","8466","4","Primaria","Empleado","Si","Prestada","Si","No","5","3","4","0","0"
"3","M","6.2","7.3","7.6","17185","7","Preparatoria","Desempleado","Si","Propia","No","Si","3","3","0","0","1"
"2","M","8.3","9.3","6.7","7090","5","Universitaria","Desempleado","No","Propia","Si","Si","7","4","2","1","0"
"3","M","8.3","6.8","6.8","6240","8","Secundaria","Empleado","No","Alquilada","No","Si","8","5","3","1","1"
"3","M","8.4","5.7","6.1","18795","7","Secundaria","Desempleado","Si","Alquilada","No","Si","6","1","4","1","0"
"1","F","8.7","9.3","7.3","16910","5","Universitaria","Empleado","No","Propia","Si","No","6","3","3","0","1"
"3","F","5.2","9.6","5.4","4446","7","Secundaria","Desempleado","No","Alquilada","Si","Si","1","2","5","3","0"
"3","M","9.1","5.1","7.3","5346","3","Preparatoria","Desempleado","No","Prestada","Si","Si","1","2","0","4","0"
"2","F","5.5","7.9","7.6","14411","5","Preparatoria","Desempleado","Si","Alquilada","No","No","9","3","3","3","1"
"2","M","9.7","7.9","9.7","18469","6","Primaria","Empleado","No","Prestada","Si","No","1","1","0","0","0"
"1","M","9.8","9.8","7.9","9749","6","Preparatoria","Empleado","No","Alquilada","No","Si","3","5","1","0","1"
"3","M","6.8","8.8","6.4","6142","8","Secundaria","Empleado","Si","Prestada","No","Si","8","2","2","2","0"
"3","F","5.2","9.4","9.6","18070","9","Primaria","Desempleado","No","Alquilada","No","Si","4","5","1","3","0"
"3","M","6.7","8.1","8.7","16187","4","Universitaria","Desempleado","Si","Alquilada","No","Si","1","5","0","1","0"
"1","M","8.8","5","9.3","9087","7","Universitaria","Empleado","Si","Propia","No","No","3","4","5","5","1"
"1","F","5.8","8.7","8.3","17635","2","Primaria","Empleado","Si","Propia","No","Si","6","2","1","1","1"
"2","F","6.1","6.2","7.6","17807","4","Preparatoria","Empleado","Si","Prestada","No","No","4","1","0","0","1"
"1","F","5.4","6","6.9","12197","8","Primaria","Desempleado","Si","Propia","Si","No","7","0","1","2","0"
"3","F","5.2","5.9","9","14271","2","Primaria","Empleado","Si","Prestada","Si","Si","0","4","0","3","1"
"3","M","6","9.7","8.1","19187","7","Preparatoria","Desempleado","No","Propia","No","No","4","4","2","2","0"
"1","F","7.9","7.5","5.3","16724","4","Universitaria","Desempleado","Si","Propia","Si","Si","3","0","5","4","0"
"3","M","5.3","6.9","5.4","11261","4","Primaria","Empleado","No","Prestada","Si","Si","2","4","2","2","1"
"3","F","5.4","6.6","5.7","15479","9","Universitaria","Desempleado","Si","Alquilada","No","Si","6","4","2","4","1"
"1","F","5","6.6","7.1","17804","9","Secundaria","Desempleado","Si","Prestada","Si","Si","9","4","0","3","0"
"1","F","7.6","5.3","9.1","14333","6","Preparatoria","Desempleado","No","Prestada","No","No","0","2","3","1","0"
"3","F","7.7","5.4","5.6","14827","2","Secundaria","Desempleado","Si","Prestada","No","Si","5","2","1","4","0"
"3","F","7.8","7.2","7.1","11600","3","Universitaria","Empleado","Si","Propia","Si","No","7","3","1","1","1"
"3","F","6.7","9.5","9.5","13932","3","Secundaria","Desempleado","Si","Propia","No","Si","1","3","1","2","1"
"2","M","6.1","5.9","7.9","18648","4","Secundaria","Empleado","Si","Propia","No","No","5","2","5","2","1"
"2","F","6.2","9.5","8.6","14040","9","Secundaria","Desempleado","No","Prestada","Si","No","0","4","1","3","1"
"2","F","9","7.7","6.5","18127","7","Primaria","Empleado","Si","Alquilada","Si","Si","5","1","2","1","1"
"1","F","5.1","8.2","6.4","14473","4","Primaria","Desempleado","Si","Alquilada","No","Si","5","0","3","3","1"
"2","F","8.6","9.2","5.4","18709","8","Preparatoria","Empleado","Si","Prestada","Si","No","4","3","1","4","0"
"1","M","9.4","7.5","5.2","3206","6","Universitaria","Desempleado","No","Prestada","No","No","6","4","3","2","1"
"1","F","6.5","9.9","7.2","11696","9","Universitaria","Empleado","Si","Alquilada","Si","No","4","3","0","2","1"
"2","F","9.7","9.7","5.9","15714","8","Preparatoria","Empleado","Si","Propia","Si","Si","7","5","0","2","0"
"2","F","7.3","7.8","5.4","3440","2","Universitaria","Empleado","No","Prestada","Si","Si","1","1","5","5","0"
"2","F","8.4","7.6","7.2","11147","8","Universitaria","Desempleado","Si","Alquilada","No","Si","5","5","1","2","0"
"3","M","7.1","6.7","6.4","18267","9","Secundaria","Desempleado","No","Alquilada","Si","Si","4","4","4","2","1"
"2","F","8.5","8.9","6.7","10746","4","Secundaria","Empleado","No","Alquilada","No","No","9","2","5","4","0"
"3","M","6","5.9","7.4","7136","8","Universitaria","Desempleado","No","Propia","No","No","1","1","2","4","1"
"1","F","9.5","9.1","5.7","13446","7","Preparatoria","Empleado","No","Alquilada","No","No","6","3","5","3","1"
"3","M","7.8","5.4","8","14331","3","Preparatoria","Empleado","No","Alquilada","Si","No","3","4","1","0","0"
"2","M","8.4","5.9","7","15188","2","Universitaria","Desempleado","Si","Alquilada","Si","No","5","5","2","2","1"
"1","F","9.7","9.9","5.1","7819","4","Preparatoria","Desempleado","Si","Prestada","No","Si","4","4","1","2","0"
"1","F","6.4","7","7.1","10069","2","Preparatoria","Desempleado","No","Prestada","No","Si","3","0","2","0","1"
"1","M","8","7.3","5.7","14769","9","Secundaria","Desempleado","Si","Prestada","Si","No","1","0","4","3","0"
"3","M","9.1","8.7","7.2","7560","6","Preparatoria","Desempleado","Si","Alquilada","Si","Si","6","5","4","4","1"
"2","F","9","5.2","8.1","14853","8","Primaria","Desempleado","No","Alquilada","Si","Si","4","0","5","2","1"
"1","M","9.2","8.9","5.7","12459","3","Secundaria","Empleado","No","Propia","Si","Si","2","2","0","3","0"
"1","M","6.5","8","5.3","5629","7","Primaria","Empleado","Si","Alquilada","No","Si","5","4","5","0","0"
"1","M","5.9","9","7.9","13657","2","Universitaria","Empleado","Si","Propia","No","Si","7","4","1","4","1"
"3","F","9.8","8.6","6.8","7314","3","Preparatoria","Desempleado","No","Alquilada","Si","No","9","3","4","4","1"
"3","M","8.1","5.1","7.2","10662","8","Primaria","Empleado","Si","Propia","No","No","9","2","4","3","1"
"2","M","5.1","5.1","6.7","19754","4","Preparatoria","Desempleado","No","Prestada","Si","Si","1","0","5","1","0"
"3","M","7.3","8.8","7.8","9629","9","Primaria","Desempleado","No","Alquilada","Si","No","9","4","1","1","0"
"1","F","7.2","9.8","7.2","13324","7","Secundaria","Desempleado","No","Propia","Si","No","3","0","5","5","0"
"2","F","5.1","9.1","8.2","19558","7","Universitaria","Empleado","Si","Prestada","Si","Si","2","1","5","5","0"
"1","M","8.7","9.3","9.6","18494","5","Primaria","Empleado","No","Prestada","No","Si","6","2","5","1","1"
"1","F","8","8.3","6.7","8692","2","Secundaria","Desempleado","No","Alquilada","No","Si","9","0","1","0","1"
"3","M","8.9","9.1","9.3","11218","9","Universitaria","Empleado","No","Propia","No","Si","7","2","0","1","1"
"2","F","7.5","6.9","8.2","13746","3","Primaria","Desempleado","No","Propia","Si","No","7","5","4","3","1"
"3","F","7.8","8.2","5.6","17372","2","Primaria","Desempleado","No","Propia","No","Si","3","4","2","4","0"
"3","M","5.2","5.3","7.7","14631","4","Secundaria","Empleado","Si","Prestada","Si","Si","9","1","1","3","0"
"2","F","6.3","9.4","5","3472","4","Universitaria","Desempleado","Si","Propia","No","No","1","3","1","3","0"
"1","F","7.4","9.3","8.8","16599","9","Universitaria","Desempleado","Si","Prestada","Si","Si","5","1","1","2","0"
"1","F","9.7","6","8.3","6872","8","Secundaria","Desempleado","No","Propia","No","No","2","2","5","0","1"
"2","M","5","9.1","8.8","12573","7","Preparatoria","Desempleado","Si","Prestada","Si","No","7","1","5","4","1"
"1","F","5.2","9.6","6.8","15691","9","Secundaria","Empleado","No","Alquilada","No","Si","2","4","1","2","0"
"2","F","7.5","5.4","8","13482","7","Universitaria","Empleado","Si","Prestada","No","No","1","2","4","0","1"
"2","M","6.7","7.4","6.2","6753","3","Secundaria","Desempleado","Si","Propia","No","Si","8","2","2","4","1"
"3","F","5.8","9.8","7.3","3833","6","Preparatoria","Desempleado","No","Prestada","No","No","8","4","0","2","1"
"2","F","8.7","8.6","5.4","7928","2","Secundaria","Desempleado","Si","Propia","No","Si","8","5","3","5","0"
"3","F","7.2","8.3","7.2","10645","2","Secundaria","Empleado","Si","Alquilada","No","Si","2","0","4","1","1"
"1","F","7","5.8","6.8","8816","4","Primaria","Empleado","Si","Prestada","No","No","1","3","4","3","0"
"1","F","5","5.5","5","19124","2","Preparatoria","Empleado","No","Alquilada","Si","Si","3","5","3","5","0"
"1","M","7","6.7","8.2","9256","3","Universitaria","Empleado","Si","Prestada","Si","No","1","5","3","1","1"
"1","M","7.6","6.3","9.9","12549","5","Preparatoria","Empleado","No","Prestada","Si","No","7","1","1","4","0"
"3","F","9.1","6.8","8.2","17062","9","Universitaria","Desempleado","No","Alquilada","No","Si","9","5","2","5","0"
"1","F","5.5","6.3","8.1","11635","7","Universitaria","Empleado","No","Alquilada","No","No","0","3","4","5","0"
"2","F","9.3","8.9","7.7","11940","4","Primaria","Empleado","Si","Prestada","Si","Si","1","3","4","2","0"
"2","M","8.5","6.6","8.6","4401","9","Preparatoria","Desempleado","Si","Prestada","No","No","5","5","0","2","0"
"2","M","7.7","8.4","9","15111","7","Primaria","Empleado","No","Prestada","Si","Si","8","4","3","2","0"
"3","F","9.4","7.8","6.1","13363","7","Secundaria","Desempleado","No","Alquilada","No","No","9","0","3","3","0"
"1","F","6.6","9.1","5.8","14432","7","Preparatoria","Desempleado","Si","Propia","Si","No","4","3","4","2","0"
"1","M","8.9","6.6","9.9","11978","5","Secundaria","Empleado","Si","Alquilada","No","No","4","2","3","0","0"
"1","F","5.2","9.2","6","19793","9","Preparatoria","Empleado","Si","Prestada","No","No","2","5","1","0","0"
"3","M","6.1","5.7","8.2","2909","2","Universitaria","Empleado","Si","Prestada","No","No","7","0","0","0","1"
"2","M","8.8","5","6.8","2760","6","Secundaria","Empleado","No","Alquilada","No","Si","5","4","4","5","1"
"2","F","6.1","9.4","9.1","7612","7","Preparatoria","Desempleado","Si","Prestada","No","Si","9","5","5","1","0"
"1","M","5.1","8.5","8.3","5240","3","Preparatoria","Desempleado","No","Prestada","No","No","1","3","0","4","0"
"2","F","9.5","5.6","5.6","2530","7","Secundaria","Empleado","No","Prestada","Si","Si","4","5","5","1","1"
"2","F","7.1","9.5","8","11551","7","Primaria","Desempleado","Si","Prestada","Si","Si","3","4","1","5","0"
"3","F","7.2","5.4","5.1","12219","9","Preparatoria","Desempleado","Si","Prestada","Si","Si","9","1","0","1","0"
"3","F","7.9","7.3","6.8","18216","2","Primaria","Desempleado","Si","Propia","No","No","8","4","5","3","1"
"3","F","5.4","7.7","8.7","4560","8","Primaria","Empleado","Si","Alquilada","Si","Si","3","2","3","5","1"
"3","F","5.8","9.2","8.1","7103","3","Primaria","Desempleado","Si","Alquilada","No","Si","7","4","4","1","1"
"1","M","7","6.6","5.9","19921","2","Primaria","Desempleado","Si","Alquilada","Si","No","0","0","0","3","0"
"3","M","6","8.6","9","11465","7","Primaria","Desempleado","Si","Propia","Si","No","4","1","2","0","1"
"2","M","5.4","6.9","5.7","4781","9","Universitaria","Empleado","No","Propia","Si","No","8","5","4","0","1"
"1","M","8.4","5.2","7.5","19330","8","Primaria","Desempleado","No","Alquilada","No","No","2","5","0","1","1"
"2","F","7.6","8.6","7.9","7257","2","Universitaria","Desempleado","Si","Alquilada","No","No","5","2","4","1","0"
"2","M","9.8","7.5","6","4188","2","Preparatoria","Desempleado","No","Alquilada","Si","Si","9","1","5","0","1"
"2","M","5.1","6.4","9","8063","4","Universitaria","Desempleado","No","Prestada","No","Si","5","2","0","2","1"
"3","M","7.3","9.7","6.9","17615","5","Universitaria","Desempleado","Si","Propia","Si","Si","5","5","0","0","0"
"3","F","8","5.7","6.9","2881","8","Primaria","Desempleado","No","Propia","No","No","3","1","3","2","0"
